root,lelbow,lwrist,relbow,rwrist
0.933059,1.24591,1.12121,0.810025,0.889683
0.938437,1.24371,1.11727,0.800782,0.868408
0.938437,1.24371,1.11727,0.800782,0.868408
0.940688,1.24631,1.11986,0.802971,0.870524
0.940688,1.24631,1.11986,0.802971,0.870524
0.940688,1.24631,1.11986,0.802971,0.870524
0.946385,1.25282,1.12634,0.808501,0.87589
0.948269,1.2254,1.09619,0.807889,0.834785
0.948269,1.2254,1.09619,0.807889,0.834785
0.952212,1.22991,1.10062,0.811711,0.838444
0.952212,1.22991,1.10062,0.811711,0.838444
0.952212,1.22991,1.10062,0.811711,0.838444
0.954677,1.23276,1.1034,0.814117,0.840734
0.960201,1.24143,1.1294,0.815458,0.896574
0.962467,1.24406,1.13195,0.817747,0.898774
0.962467,1.24406,1.13195,0.817747,0.898774
0.962467,1.24406,1.13195,0.817747,0.898774
0.966309,1.24849,1.13625,0.821587,0.902488
0.966309,1.24849,1.13625,0.821587,0.902488
0.966309,1.24849,1.13625,0.821587,0.902488
0.969916,1.2526,1.14025,0.825182,0.90598
0.969916,1.2526,1.14025,0.825182,0.90598
0.971405,1.25428,1.1419,0.826656,0.907418
0.972869,1.25593,1.14351,0.828118,0.908842
0.972869,1.25593,1.14351,0.828118,0.908842
0.97234,1.23935,1.13701,0.830192,0.860313
0.97234,1.23935,1.13701,0.830192,0.860313
0.97234,1.23935,1.13701,0.830192,0.860313
0.975019,1.24241,1.13994,0.832888,0.862837
0.975019,1.24241,1.13994,0.832888,0.862837
0.975019,1.24241,1.13994,0.832888,0.862837
0.97997,1.25502,1.16145,0.831105,0.860499
0.97997,1.25502,1.16145,0.831105,0.860499
0.97997,1.25502,1.16145,0.831105,0.860499
0.983168,1.25862,1.16492,0.834301,0.863481
0.983168,1.25862,1.16492,0.834301,0.863481
0.984646,1.26027,1.16652,0.835786,0.864871
0.998759,1.26178,1.2215,0.809165,0.825428
0.998759,1.26178,1.2215,0.809165,0.825428
0.998759,1.26178,1.2215,0.809165,0.825428
0.999806,1.26296,1.22261,0.810255,0.826407
0.999806,1.26296,1.22261,0.810255,0.826407
0.999806,1.26296,1.22261,0.810255,0.826407
1.00176,1.26519,1.2247,0.812319,0.828234
1.00176,1.26519,1.2247,0.812319,0.828234
1.00176,1.26519,1.2247,0.812319,0.828234
1.00355,1.26721,1.22661,0.81418,0.829903
1.00355,1.26721,1.22661,0.81418,0.829903
1.00562,1.26952,1.22879,0.816314,0.831833
1.0129,1.25656,1.24624,0.841735,0.838754
1.0129,1.25656,1.24624,0.841735,0.838754
1.01476,1.25866,1.2482,0.843656,0.840464
1.01476,1.25866,1.2482,0.843656,0.840464
1.01476,1.25866,1.2482,0.843656,0.840464
1.01552,1.25951,1.249,0.844432,0.841155
1.01827,1.20084,1.17754,0.858197,0.846117
1.01827,1.20084,1.17754,0.858197,0.846117
1.01827,1.20084,1.17754,0.858197,0.846117
1.01827,1.20084,1.17754,0.858197,0.846117
1.01965,1.20238,1.17895,0.859667,0.847444
1.01965,1.20238,1.17895,0.859667,0.847444
1.01965,1.20238,1.17895,0.859667,0.847444
1.02148,1.18007,1.1707,0.851445,0.855057
1.02148,1.18007,1.1707,0.851445,0.855057
1.02148,1.18007,1.1707,0.851445,0.855057
1.02146,1.18018,1.17074,0.85142,0.854946
1.02146,1.18018,1.17074,0.85142,0.854946
1.02135,1.18036,1.17078,0.851318,0.854645
1.05294,1.20983,1.19515,0.867463,0.875012
1.05294,1.20983,1.19515,0.867463,0.875012
1.05286,1.20992,1.19517,0.867351,0.874786
1.05286,1.20992,1.19517,0.867351,0.874786
1.05286,1.20992,1.19517,0.867351,0.874786
1.05278,1.21012,1.19526,0.867219,0.874475
1.05278,1.21012,1.19526,0.867219,0.874475
1.05251,1.21057,1.19539,0.866816,0.87359
1.05251,1.21057,1.19539,0.866816,0.87359
1.05251,1.21057,1.19539,0.866816,0.87359
1.0518,1.21062,1.19507,0.866024,0.872253
1.0518,1.21062,1.19507,0.866024,0.872253
1.01909,1.19569,1.17065,0.870004,0.850067
1.01898,1.19608,1.17075,0.870062,0.849752
1.01898,1.19608,1.17075,0.870062,0.849752
1.01859,1.19673,1.1708,0.870015,0.84892
1.01859,1.19673,1.1708,0.870015,0.84892
1.01859,1.19673,1.1708,0.870015,0.84892
0.927107,1.05838,1.06635,0.79402,0.792901
0.927107,1.05838,1.06635,0.79402,0.792901
0.927107,1.05838,1.06635,0.79402,0.792901
0.925927,1.05877,1.06573,0.793313,0.790884
0.925927,1.05877,1.06573,0.793313,0.790884
0.925045,1.05902,1.06525,0.792757,0.78939
0.925045,1.05902,1.06525,0.792757,0.78939
0.925045,1.05902,1.06525,0.792757,0.78939
0.924123,1.05929,1.06474,0.792215,0.787847
0.924123,1.05929,1.06474,0.792215,0.787847
0.922721,1.05969,1.06393,0.791465,0.785528
0.922721,1.05969,1.06393,0.791465,0.785528
0.886424,1.01427,1.02488,0.751272,0.763683
0.884727,1.01487,1.02395,0.750473,0.760948
0.884727,1.01487,1.02395,0.750473,0.760948
0.884727,1.01487,1.02395,0.750473,0.760948
0.883397,1.01545,1.02323,0.749993,0.758799
0.883397,1.01545,1.02323,0.749993,0.758799
0.869847,1.00334,1.01133,0.694271,0.708835
0.869847,1.00334,1.01133,0.694271,0.708835
0.869847,1.00334,1.01133,0.694271,0.708835
0.868637,1.00388,1.01047,0.694069,0.706865
0.868637,1.00388,1.01047,0.694069,0.706865
0.853404,0.995469,0.998321,0.669293,0.691484
0.852143,0.996365,0.997557,0.669589,0.689572
0.852143,0.996365,0.997557,0.669589,0.689572
0.851172,0.997189,0.996968,0.669995,0.688091
0.851172,0.997189,0.996968,0.669995,0.688091
0.851172,0.997189,0.996968,0.669995,0.688091
0.8506,0.99783,0.996631,0.670415,0.687199
0.850186,0.998332,0.996378,0.67079,0.686561
0.850186,0.998332,0.996378,0.67079,0.686561
0.849828,0.998862,0.996181,0.671187,0.685979
0.849828,0.998862,0.996181,0.671187,0.685979
0.849828,0.998862,0.996181,0.671187,0.685979
0.849128,1.00024,0.995789,0.672425,0.684828
0.853554,1.01341,1.00558,0.638699,0.643079
0.853554,1.01341,1.00558,0.638699,0.643079
0.853153,1.01459,1.00517,0.639843,0.641993
0.853153,1.01459,1.00517,0.639843,0.641993
0.852898,1.01533,1.00491,0.640584,0.641313
0.852663,1.01604,1.00466,0.641292,0.640681
0.849641,1.01395,1.00942,0.635048,0.63063
0.849641,1.01395,1.00942,0.635048,0.63063
0.84945,1.01464,1.00925,0.635769,0.630091
0.84945,1.01464,1.00925,0.635769,0.630091
0.84945,1.01464,1.00925,0.635769,0.630091
