robot_x,robot_y,robot_z
0.224787,-0.511083,0x7ffdcec47480
0.224787,-0.511083,0x7ffdcec47480
0.224787,-0.511083,0x7ffdcec47480
0.226771,-0.510401,0x7ffdcec47480
0.226771,-0.510401,0x7ffdcec47480
0.229083,-0.509544,0x7ffdcec47480
0.229083,-0.509544,0x7ffdcec47480
0.229083,-0.509544,0x7ffdcec47480
0.230926,-0.508867,0x7ffdcec47480
0.230926,-0.508867,0x7ffdcec47480
0.230926,-0.508867,0x7ffdcec47480
0.232011,-0.508474,0x7ffdcec47480
0.232011,-0.508474,0x7ffdcec47480
0.232011,-0.508474,0x7ffdcec47480
0.233654,-0.507875,0x7ffdcec47480
0.237943,-0.506264,0x7ffdcec47480
0.237943,-0.506264,0x7ffdcec47480
0.237943,-0.506264,0x7ffdcec47480
0.238935,-0.505885,0x7ffdcec47480
0.238935,-0.505885,0x7ffdcec47480
0.238935,-0.505885,0x7ffdcec47480
0.238896,-0.50591,0x7ffdcec47480
0.238896,-0.50591,0x7ffdcec47480
0.238982,-0.505999,0x7ffdcec47480
0.238982,-0.505999,0x7ffdcec47480
0.238982,-0.505999,0x7ffdcec47480
0.239899,-0.506134,0x7ffdcec47480
0.239899,-0.506134,0x7ffdcec47480
0.239899,-0.506134,0x7ffdcec47480
0.241121,-0.506205,0x7ffdcec47480
0.241121,-0.506205,0x7ffdcec47480
0.242791,-0.506383,0x7ffdcec47480
0.242791,-0.506383,0x7ffdcec47480
0.242791,-0.506383,0x7ffdcec47480
0.24376,-0.50659,0x7ffdcec47480
0.24376,-0.50659,0x7ffdcec47480
0.24376,-0.50659,0x7ffdcec47480
0.245101,-0.507091,0x7ffdcec47480
0.245101,-0.507091,0x7ffdcec47480
0.246404,-0.507728,0x7ffdcec47480
0.246404,-0.507728,0x7ffdcec47480
0.246404,-0.507728,0x7ffdcec47480
0.247739,-0.508516,0x7ffdcec47480
0.247739,-0.508516,0x7ffdcec47480
0.247739,-0.508516,0x7ffdcec47480
0.24867,-0.509067,0x7ffdcec47480
0.24867,-0.509067,0x7ffdcec47480
0.24867,-0.509067,0x7ffdcec47480
0.249961,-0.510098,0x7ffdcec47480
0.249961,-0.510098,0x7ffdcec47480
0.249961,-0.510098,0x7ffdcec47480
0.2514,-0.51144,0x7ffdcec47480
0.2514,-0.51144,0x7ffdcec47480
0.252749,-0.512493,0x7ffdcec47480
0.252749,-0.512493,0x7ffdcec47480
0.252749,-0.512493,0x7ffdcec47480
0.253273,-0.512916,0x7ffdcec47480
0.253273,-0.512916,0x7ffdcec47480
0.253273,-0.512916,0x7ffdcec47480
0.254242,-0.513539,0x7ffdcec47480
0.254242,-0.513539,0x7ffdcec47480
0.254242,-0.513539,0x7ffdcec47480
0.255088,-0.513975,0x7ffdcec47480
0.255088,-0.513975,0x7ffdcec47480
0.256026,-0.514289,0x7ffdcec47480
0.256026,-0.514289,0x7ffdcec47480
0.256026,-0.514289,0x7ffdcec47480
0.25672,-0.514277,0x7ffdcec47480
0.25672,-0.514277,0x7ffdcec47480
0.25672,-0.514277,0x7ffdcec47480
0.257178,-0.514205,0x7ffdcec47480
0.257562,-0.513997,0x7ffdcec47480
0.257562,-0.513997,0x7ffdcec47480
0.257838,-0.513799,0x7ffdcec47480
0.257838,-0.513799,0x7ffdcec47480
0.257838,-0.513799,0x7ffdcec47480
0.258318,-0.513198,0x7ffdcec47480
0.258318,-0.513198,0x7ffdcec47480
0.258318,-0.513198,0x7ffdcec47480
0.258681,-0.512656,0x7ffdcec47480
0.258681,-0.512656,0x7ffdcec47480
0.258681,-0.512656,0x7ffdcec47480
0.258981,-0.512072,0x7ffdcec47480
0.258981,-0.512072,0x7ffdcec47480
0.259153,-0.511849,0x7ffdcec47480
0.259153,-0.511849,0x7ffdcec47480
0.259153,-0.511849,0x7ffdcec47480
0.259493,-0.511456,0x7ffdcec47480
0.259493,-0.511456,0x7ffdcec47480
0.259493,-0.511456,0x7ffdcec47480
0.259933,-0.511006,0x7ffdcec47480
0.259933,-0.511006,0x7ffdcec47480
0.260115,-0.510921,0x7ffdcec47480
0.260115,-0.510921,0x7ffdcec47480
0.260115,-0.510921,0x7ffdcec47480
0.260415,-0.510671,0x7ffdcec47480
0.260415,-0.510671,0x7ffdcec47480
0.260415,-0.510671,0x7ffdcec47480
0.260782,-0.510584,0x7ffdcec47480
